path	size	sha256	head16
C:\Users\EPIK\AppData\Local\Roblox\rbx-storage\05\052bc5663c69c14a8f03b1e834d2ce04	11087	e8ab72072448348058d873f25b4cd752d3f9bedb063176b3fe0d156d4cc3a216	52425848020000000000000000c80000
C:\Users\EPIK\AppData\Local\Roblox\rbx-storage\05\052fdaf960a7436f4fca7c75d60b8378	246986	e311adcb3d790cc18b9604c3ee7f567735223c4fcbcdc0fb9aff11ded8b701ce	52425848020000000000000000c80000
C:\Users\EPIK\AppData\Local\Roblox\rbx-storage\05\053321f86c51310ba88f851bd564df1c	15993	5ae8be750c17d6567795d582340278736dd2d6b75dc703a0d527394c6af50f6f	52425848020000000000000000c80000
C:\Users\EPIK\AppData\Local\Roblox\rbx-storage\05\053903b6a4877c0e6dcfdb8297299709	10582	19ac358c89ac0dae1d95f1db268bb2a4822e3e58d9b8ab2b9556102db5eb9dfc	52425848020000000000000000c80000
C:\Users\EPIK\AppData\Local\Roblox\rbx-storage\05\053c30e357a126ccb6c5430362e17737	24910	cdb8a139c15daf06d3c7dc3553daae81b17a6802295d3294bdbefbf308a87ca0	52425848020000000000000000c80000
C:\Users\EPIK\AppData\Local\Roblox\rbx-storage\05\054a7f6e3b42029a59fd35dd7dbf4835	11062	37ef7d14c94711e6a7f41a74c57fbd24209253a0987deee16eb4b66e7b1bbd33	52425848020000000000000000c80000
C:\Users\EPIK\AppData\Local\Roblox\rbx-storage\05\0556ed15422cb71fc5e2df48a7f165e9	11050	b11bf7e6e88f75c0af3198270634e15c0ed020b2e536c800e019cc44f211c736	52425848020000000000000000c80000
C:\Users\EPIK\AppData\Local\Roblox\rbx-storage\05\0558daa060c06d433e8ff52ec332fcfc	29559	431edd9e0a1726e4540aee78ba0ac82ce6cb4e7d05f81762d4b7859a323067d9	52425848020000000000000000c80000
C:\Users\EPIK\AppData\Local\Roblox\rbx-storage\05\05593bf9d9cd75c1ac3b5b44e1a023f9	15857	e36168e0a4c2311a514efaec417189e31bc0d235c3391cb01836eb93907a1143	52425848020000005900000068747470
C:\Users\EPIK\AppData\Local\Roblox\rbx-storage\05\0559b86e0be36971412ee8d13ab8d1c3	226123	cba6aa3294572939e6c7fc63db0bf13df19aab6ac00d3db89c18719233a2d621	52425848020000000000000000c80000
C:\Users\EPIK\AppData\Local\Roblox\rbx-storage\05\055a91eb3b2b9ccedd218554450e5c6b	21079	3e45c419979fdc4d02089ce549f73aebc3c8fd89bed4b4be68f77b9928922014	52425848020000005900000068747470
C:\Users\EPIK\AppData\Local\Roblox\rbx-storage\05\056a902cfa0b353677e502efdff8854f	8334	8e5b411272bb0c4af42f09ab3f17dc6c7f9a2b46b5cbef876c7b06c7c58f5719	52425848020000000000000000c80000
C:\Users\EPIK\AppData\Local\Roblox\rbx-storage\05\0574b2b26a328a393841dff99dcbdab9	381615	9d196da4b89120dc719530f6e9928b5845b5e1aa7551a054604dc1479f67cf89	52425848020000000000000000c80000
C:\Users\EPIK\AppData\Local\Roblox\rbx-storage\05\05b878bd7209b806e353be64eb9c5f4b	96583	42adc76c45176862d6d1adbc77d0b893d0013128085c575de822f1f558e79fff	52425848020000000000000000c80000
C:\Users\EPIK\AppData\Local\Roblox\rbx-storage\05\05df3709c1edf6bb8834bffe5c2c2a63	16666	eaffc07784ca112d51d47dc9294f3592876a3a6184ae67d5b53fb99bd849c64d	52425848020000000000000000c80000
C:\Users\EPIK\AppData\Local\Roblox\rbx-storage\05\05e74a2af3482b2199350a8cf1303fbb	8929	7558075d2f2dc20cd343a9146fd607eaa2bae1e816546c718f6f91b77e2c9af6	52425848020000000000000000c80000
C:\Users\EPIK\AppData\Local\Roblox\rbx-storage\05\05f6f45fdb6e03fe4b8bb98579b1dfdf	50053	405b7166df0b1d59c83560e8cb06f5788110b924400fefdb248afb5358b09c2a	52425848020000000000000000c80000
C:\Users\EPIK\AppData\Local\Roblox\rbx-storage\05\05f78d710427c58cbf11e754252453ee	20819	519bcf442bc790d16a7371f799290b59e0d8aad4a0db024c6ea23522f1830b27	52425848020000000000000000c80000
C:\Users\EPIK\AppData\Local\Roblox\rbx-storage\06\0607cd38110d24c364f3c4abe8dac70b	8284	ef2ffaaeca731e0c451e40b1348b92d42c9bbbe8c7eab1adf2d5871e2b508f54	52425848020000005900000068747470
C:\Users\EPIK\AppData\Local\Roblox\rbx-storage\06\061818d26d859a4550765d4a095cadca	7386	79667dd8dc7cb39c24ab86409da8f5a173113af734b144700616ccbd0c5789b9	9f66d01c0000c61c000028b52ffd60c6
C:\Users\EPIK\AppData\Local\Roblox\rbx-storage\06\064403198b24659fcbf81f45ac30308e	155108	638f69fbb62cb3ca15cf8349382d541bacc4bc0c7d09990fb963b438ce797b88	52425848020000000000000000c80000
C:\Users\EPIK\AppData\Local\Roblox\rbx-storage\06\065a90d4c2da317c428661c2d8aca559	332555	2147889711534c22772bcfb3f710e979c7e7e6c27676f0c4457e7b4fb72cb184	52425848020000000000000000c80000
